4;MASTER;1;534491;80733;1;0;1;4;1
6;DEBITO;1;903660;907;7;1;1;6;33
21;BLACKDEBIT;1;534455;847;1;0;1;4;11
35;MAESTROPAY;1;631664;507;7;1;1;6;16
